Feature,Frequency,PresenceFraction,RankedPosition
aVR_std,5,1.0,1
V3_energy,5,1.0,2
II_iqr,5,1.0,3
II_skew,5,1.0,4
III_q25,5,1.0,5
III_skew,5,1.0,6
aVR_range,5,1.0,7
aVR_kurtosis,5,1.0,8
aVL_iqr,5,1.0,9
aVL_kurtosis,5,1.0,10
V1_max,5,1.0,11
V1_median,5,1.0,12
V1_skew,5,1.0,13
V2_mean,5,1.0,14
V2_q25,5,1.0,15
V2_iqr,5,1.0,16
V3_min,5,1.0,17
V3_q75,5,1.0,18
V3_iqr,5,1.0,19
II_q25,5,1.0,20
II_range,5,1.0,21
II_min,5,1.0,22
V3_std,5,1.0,23
V1_min,5,1.0,24
V1_q25,5,1.0,25
V1_kurtosis,5,1.0,26
V2_min,5,1.0,27
V2_max,5,1.0,28
V2_q75,5,1.0,29
V2_kurtosis,5,1.0,30
V3_max,5,1.0,31
I_kurtosis,5,1.0,32
V3_skew,5,1.0,33
V4_min,5,1.0,34
V4_range,5,1.0,35
V6_range,5,1.0,36
V6_kurtosis,5,1.0,37
QTInterval,5,1.0,38
I_median,5,1.0,39
V3_rms,5,1.0,40
V4_q75,5,1.0,41
aVF_range,5,1.0,42
V4_iqr,5,1.0,43
aVF_kurtosis,5,1.0,44
aVF_rms,5,1.0,45
V2_range,5,1.0,46
V2_skew,5,1.0,47
V3_mean,5,1.0,48
V4_mean,5,1.0,49
V4_median,5,1.0,50
V4_q25,5,1.0,51
V4_skew,5,1.0,52
V5_min,5,1.0,53
V5_skew,5,1.0,54
V5_kurtosis,5,1.0,55
V6_mean,5,1.0,56
V6_min,5,1.0,57
V6_rms,5,1.0,58
V6_energy,5,1.0,59
Gender,5,1.0,60
aVF_skew,5,1.0,61
aVF_iqr,5,1.0,62
aVF_q25,5,1.0,63
I_q75,5,1.0,64
V5_std,5,1.0,65
V5_max,5,1.0,66
V6_max,5,1.0,67
V6_q75,5,1.0,68
V6_iqr,5,1.0,69
V6_skew,5,1.0,70
I_q25,5,1.0,71
I_iqr,5,1.0,72
aVF_min,5,1.0,73
II_kurtosis,5,1.0,74
III_min,5,1.0,75
III_iqr,5,1.0,76
III_kurtosis,5,1.0,77
aVR_max,5,1.0,78
aVL_range,5,1.0,79
aVL_rms,5,1.0,80
aVF_q75,5,1.0,81
aVL_skew,5,1.0,82
aVR_median,5,1.0,83
III_median,5,1.0,84
aVF_median,5,1.0,85
aVF_energy,5,1.0,86
V1_std,5,1.0,87
V1_iqr,5,1.0,88
V1_rms,5,1.0,89
V1_energy,5,1.0,90
V2_energy,5,1.0,91
V4_max,5,1.0,92
V5_mean,5,1.0,93
V6_median,5,1.0,94
PatientAge,5,1.0,95
AtrialRate,5,1.0,96
QRSDuration,5,1.0,97
I_mean,5,1.0,98
I_rms,5,1.0,99
II_rms,5,1.0,100
III_mean,5,1.0,101
aVF_max,5,1.0,102
aVL_energy,5,1.0,103
aVL_q25,5,1.0,104
VentricularRate,5,1.0,105
aVR_q75,5,1.0,106
aVR_rms,5,1.0,107
aVF_mean,5,1.0,108
V2_std,5,1.0,109
V2_rms,5,1.0,110
V4_std,5,1.0,111
V4_rms,5,1.0,112
I_energy,5,1.0,113
aVL_max,5,1.0,114
II_mean,5,1.0,115
II_std,5,1.0,116
II_median,5,1.0,117
III_range,5,1.0,118
aVR_iqr,5,1.0,119
aVR_energy,5,1.0,120
aVL_mean,5,1.0,121
III_std,5,1.0,122
aVR_mean,5,1.0,123
aVR_q25,5,1.0,124
aVR_skew,5,1.0,125
V5_rms,5,1.0,126
V5_energy,5,1.0,127
V6_std,5,1.0,128
V6_q25,5,1.0,129
I_std,5,1.0,130
I_min,5,1.0,131
I_max,5,1.0,132
I_range,5,1.0,133
I_skew,5,1.0,134
II_max,5,1.0,135
II_q75,5,1.0,136
II_energy,5,1.0,137
III_max,5,1.0,138
III_q75,5,1.0,139
III_rms,5,1.0,140
III_energy,5,1.0,141
aVR_min,5,1.0,142
V5_iqr,5,1.0,143
V5_q75,5,1.0,144
V5_q25,5,1.0,145
V1_q75,5,1.0,146
aVL_std,5,1.0,147
aVL_min,5,1.0,148
aVL_median,5,1.0,149
aVL_q75,5,1.0,150
aVF_std,5,1.0,151
V1_mean,5,1.0,152
V1_range,5,1.0,153
V2_median,5,1.0,154
V5_range,5,1.0,155
V3_median,5,1.0,156
V3_range,5,1.0,157
V3_q25,5,1.0,158
V3_kurtosis,5,1.0,159
V4_kurtosis,5,1.0,160
V4_energy,5,1.0,161
V5_median,5,1.0,162
QTCorrected,5,1.0,163
