Aggregation Method,Classifier,Accuracy,Sensitivity,F1-score,ROC-AUC,Num Features
all_features,LDA,0.9112850619699935,0.9112850619699935,0.9101122399758115,,163
all_features,QDA,0.4892367906066536,0.4892367906066536,0.4832950359323436,,163
all_features,AdaBoost,0.9275929549902152,0.9275929549902152,0.9269607458004354,,163
all_features,Bagging,0.9308545335942596,0.9308545335942596,0.9299979305484583,,163
all_features,Extra Trees Ensemble,0.9262883235485975,0.9262883235485975,0.9252830000282993,,163
all_features,Gradient Boosting,0.9419439008480104,0.9419439008480104,0.9416190284426389,,163
all_features,Random Forest,0.9334637964774951,0.9334637964774951,0.9331678807475432,,163
all_features,BNB,0.7475538160469667,0.7475538160469667,0.7563424733740359,,163
all_features,GNB,0.7958251793868232,0.7958251793868232,0.7882861481487509,,163
all_features,KNN,0.8871493803000652,0.8871493803000652,0.8823897911876327,,163
all_features,MLP,0.9406392694063926,0.9406392694063926,0.940442560601279,,163
all_features,DTC,0.9302022178734507,0.9302022178734507,0.9299709229048005,,163
all_features,ETC,0.817351598173516,0.817351598173516,0.815388882805249,,163
mean_rank,LDA,0.9073711676451403,0.9073711676451403,0.9062236428101987,,100
mean_rank,QDA,0.8336594911937377,0.8336594911937377,0.833478147691594,,100
mean_rank,AdaBoost,0.9275929549902152,0.9275929549902152,0.9267853331372402,,100
mean_rank,Bagging,0.9341161121983039,0.9341161121983039,0.9335931659224376,,100
mean_rank,Extra Trees Ensemble,0.9302022178734507,0.9302022178734507,0.9298651927567656,,100
mean_rank,Gradient Boosting,0.9393346379647749,0.9393346379647749,0.9389482184134285,,100
mean_rank,Random Forest,0.9380300065231572,0.9380300065231572,0.9379169137488689,,100
mean_rank,BNB,0.7475538160469667,0.7475538160469667,0.7560524568099105,,100
mean_rank,GNB,0.7964774951076321,0.7964774951076321,0.7880025482202375,,100
mean_rank,KNN,0.9041095890410958,0.9041095890410958,0.9023069533132836,,100
mean_rank,MLP,0.9354207436399217,0.9354207436399217,0.9353973781913124,,100
mean_rank,DTC,0.9191128506196999,0.9191128506196999,0.9193424023772024,,100
mean_rank,ETC,0.8669275929549902,0.8669275929549902,0.8661315625929383,,100
mean_weight,LDA,0.9028049575994781,0.9028049575994781,0.9011477723666587,,100
mean_weight,QDA,0.8330071754729289,0.8330071754729289,0.8340502906289627,,100
mean_weight,AdaBoost,0.9256360078277887,0.9256360078277887,0.924590537584897,,100
mean_weight,Bagging,0.9380300065231572,0.9380300065231572,0.9373892652981612,,100
mean_weight,Extra Trees Ensemble,0.9282452707110241,0.9282452707110241,0.9274155217531468,,100
mean_weight,Gradient Boosting,0.9432485322896281,0.9432485322896281,0.943017671665058,,100
mean_weight,Random Forest,0.9380300065231572,0.9380300065231572,0.9375869089545775,,100
mean_weight,BNB,0.7442922374429224,0.7442922374429224,0.7531462194144919,,100
mean_weight,GNB,0.7964774951076321,0.7964774951076322,0.7882188868671578,,100
mean_weight,KNN,0.898238747553816,0.898238747553816,0.8954391887907577,,100
mean_weight,MLP,0.9393346379647749,0.9393346379647749,0.9392685009228167,,100
mean_weight,DTC,0.9060665362035225,0.9060665362035225,0.906200999253783,,100
mean_weight,ETC,0.8317025440313112,0.8317025440313112,0.8318235298110295,,100
rra,LDA,0.913894324853229,0.913894324853229,0.9124634710906935,,100
rra,QDA,0.8395303326810176,0.8395303326810176,0.8390586872192937,,100
rra,AdaBoost,0.9262883235485975,0.9262883235485975,0.9254661499505239,,100
rra,Bagging,0.9373776908023483,0.9373776908023483,0.9365498164535141,,100
rra,Extra Trees Ensemble,0.9341161121983039,0.9341161121983039,0.9335931659224376,,100
rra,Gradient Boosting,0.9393346379647749,0.9393346379647749,0.9388531131761058,,100
rra,Random Forest,0.9399869536855838,0.9399869536855838,0.9398105659519309,,100
rra,BNB,0.7573385518590998,0.7573385518590998,0.7657408000566096,,100
rra,GNB,0.7984344422700587,0.7984344422700587,0.7911984109074055,,100
rra,KNN,0.8956294846705806,0.8956294846705806,0.8918292772239622,,100
rra,MLP,0.9478147423352903,0.9478147423352903,0.9478147423352903,,100
rra,DTC,0.9275929549902152,0.9275929549902152,0.9275140172304586,,100
rra,ETC,0.8701891715590345,0.8701891715590345,0.8692609987574832,,100
threshold_algorithm,LDA,0.8636660143509458,0.8636660143509458,0.8591843712277047,,100
threshold_algorithm,QDA,0.6647097195042401,0.6647097195042401,0.6800078816510031,,100
threshold_algorithm,AdaBoost,0.8467058056099152,0.8467058056099152,0.8421194823880594,,100
threshold_algorithm,Bagging,0.8519243313763861,0.8519243313763861,0.8453592080213467,,100
threshold_algorithm,Extra Trees Ensemble,0.8571428571428571,0.8571428571428571,0.8476189059770515,,100
threshold_algorithm,Gradient Boosting,0.87279843444227,0.87279843444227,0.8693594866470622,,100
threshold_algorithm,Random Forest,0.8734507501630789,0.8734507501630789,0.8681810716497631,,100
threshold_algorithm,BNB,0.7051532941943901,0.7051532941943901,0.7163122059203935,,100
threshold_algorithm,GNB,0.7449445531637312,0.7449445531637312,0.7316371680104221,,100
threshold_algorithm,KNN,0.8290932811480757,0.8290932811480757,0.8169314626245204,,100
threshold_algorithm,MLP,0.8930202217873451,0.8930202217873451,0.8932489239963928,,100
threshold_algorithm,DTC,0.7912589693411611,0.7912589693411611,0.7921397831815509,,100
threshold_algorithm,ETC,0.7423352902804957,0.7423352902804957,0.7426125271792394,,100
medrank,LDA,0.9093281148075668,0.9093281148075668,0.9079381045295101,,100
medrank,QDA,0.8336594911937377,0.8336594911937377,0.8278571809300449,,100
medrank,AdaBoost,0.918460534898891,0.918460534898891,0.9172797768282444,,100
medrank,Bagging,0.9210697977821265,0.9210697977821265,0.919157945544009,,100
medrank,Extra Trees Ensemble,0.9230267449445532,0.9230267449445532,0.9220091493907776,,100
medrank,Gradient Boosting,0.9432485322896281,0.9432485322896281,0.9428427482005077,,100
medrank,Random Forest,0.9328114807566862,0.9328114807566862,0.932331069708647,,100
medrank,BNB,0.7514677103718199,0.7514677103718199,0.7601201094457564,,100
medrank,GNB,0.8023483365949119,0.8023483365949119,0.7958510262296389,,100
medrank,KNN,0.8812785388127854,0.8812785388127854,0.8767103971095425,,100
medrank,MLP,0.9308545335942596,0.9308545335942596,0.9305470133258783,,100
medrank,DTC,0.8825831702544031,0.8825831702544031,0.8829978702343979,,100
medrank,ETC,0.83235485975212,0.83235485975212,0.8328889209256324,,100
